"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"2";"";"CPOL-EUE3.5-8";"E3,5-8";"C40, C47";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"13";"C";
"1";"";"DCJ0303";"DCJ0303";"J2";"DC POWER JACK";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";
"3";"";"K1_0.8_1.6";"K_0.8_1.6";"K8, K9, K10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"K1_0.9_1.8";"K_0.9_1.8";"K1, K2, K3, K4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"K1_1.0_2.2";"K_1.0_2.2";"K5, K6, K7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16";"";"LED3MM";"LED3MM";"D6, D7, D8, D9, L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"PINHD-1X5";"1X05";"JP2, JP3, JP4";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"69";"";
"1";"";"PINHD-1X6";"1X06";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"79";"";
"1";"";"R0402";"R0402";"J1";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"100";"R0805";"R0805";"R21, R23, R28, R29, R61, R77, R78";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"34";"100n";"C0805";"R0805";"C17, C18, C19, C20, C28, C29, C30, C31, C32, C33, C34, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C68, C70, C72, C73, C76, C77, C78, C79, C80, C82";"SMD Sizes:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16";"101-TS6211T1603-EV";"101-TS6211T1603-EV";"101TS6211T1603EV";"S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16";"Tactile Switches 12x12mm 160gf BROWN";"";"";"Tactile Switches 12x12mm 160gf BROWN";"8.5mm";"Mountain Switch";"101-TS6211T1603-EV";"";"101-TS6211T1603-EV";"https://www.mouser.co.uk/ProductDetail/Mountain-Switch/101-TS6211T1603-EV?qs=fPCSDLBQ1WShwkcARVh09A%3D%3D";"";"";"";"";"";
"5";"10M";"C1206";"R1206";"C66, C67, C69, C71, C81";"SMD Sizes:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"42";"10k";"R0805";"R0805";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R19, R24, R35, R36, R38, R39, R40, R41, R42, R43, R44, R46, R47, R48, R50, R51, R52, R53, R55, R62, R65, R66, R69, R70, R71, R72";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"10k";"TRIM_EU-CA6V";"CA6V";"P1, P2, P3, P4, P6, P8, P10, R18, R25, R56, R57, R74";"POTENTIOMETER";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";
"6";"10u";"C0805";"R0805";"C36, C38, C45, C46, C50, C51";"SMD Sizes:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"14.31818M-SMDHC49S";"CSM-7X-DU";"CSM-7X-DU";"Q13";"SMD CRYSTAL";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"3";"";
"1";"1M";"R0805";"R0805";"R59";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"1k";"R0805";"R0805";"R30, R31, R32, R33, R45, R49, R54";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"20p";"C0805";"R0805";"C74, C75";"SMD Sizes:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29";"2n7";"C0805";"R0805";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C21, C22, C23, C24, C25, C26, C27, C35, C39, C41, C44, C48, C65";"SMD Sizes:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"33";"R0805";"R0805";"R17, R34, R37, R58";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"4051D";"4051D";"SO16";"A25, A26, A27";"8-channel ANALOG MULTIPLEXER";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";
"1";"470";"R0805";"R0805";"R60";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"47p";"C0805";"R0805";"C37, C42, C43, C49";"SMD Sizes:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"4k7";"R0805";"R0805";"R20, R22, R26, R27";"Resistor vcetne SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"74AHC1G14DBV";"74AHC1G14DBV";"SOT23-5";"A29";"Single Schmitt-Trigger Inverter Gate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"74HC595D";"74HC595D";"SO16";"A6, A14";"8-bit SHIFT REGISTER, output latch";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";
"3";"74LS14D";"74LS14D";"SO14";"A2, A4, A5";"Hex schmitt trigger INVERTER";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";
"2";"74LS165D";"74LS165D";"SO16";"A23, A24";"8-bit parallel load SHIFT REGISTER";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";
"1";"7805DT";"7805DT";"TO252";"A3";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";
"5";"LL4148";"DIODE-SOD80C";"SOD80C";"D1, D2, D3, D4, D5";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"9";"";
"1";"LM1458D";"LM1458D";"SO08";"A22";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";
"1";"LM2903D";"LM2903D";"SO08";"A28";"COMPARATOR";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";
"2";"MIDIJACK";"MIDIJACK";"CP-2350";"M1, M2";"DIN 5 jack also known as MIDI jack";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"PC817";"PC817";"DIL04";"OK1";"SHARP OPTO COUPLER";"";"";"";"";"";"";"";"";"";"PC817X4J000F";"9707727";"97K7059";"20";"";
"1";"PICO";"PICO";"PICO";"A1";"RP2040 microcontroller chip designed by Raspberry Pi in the United Kingdom 2  SPI, 2  I2C, 2  UART, 3  12-bit ADC, 16  controllable PWM channels";"";"";"RP2040 microcontroller chip designed by Raspberry Pi in the United Kingdom 2  SPI, 2  I2C, 2  UART, 3  12-bit ADC, 16  controllable PWM channels";"1mm";"RASPBERRY-PI";"PICO";"";"";"";"";"";"";"";"";
"8";"RC4580";"LM1458D";"SO08";"A10, A11, A12, A13, A18, A19, A20, A21";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";
"1";"STEREOJACK";"STEREOJACK";"STX3100";"X1";"MIC/HEADPHONE JACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"TEFT4300";"TEFT4300";"TEFT4300";"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12";"Vishay TEFT4300 60  Infrared Phototransistor, Through-hole 3mm Package";"TEFT4300";"https://www.arrow.com/en/products/teft4300/vishay?region=nac";"Vishay TEFT4300 60  Infrared Phototransistor, Through-hole 3mm Package";"6.1mm";"Vishay";"TEFT4300";"";"782-TEFT4300";"https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/TEFT4300?qs=HsFHTXumnCRbcrt8oPFPMA%3D%3D";"";"";"";"";"";
"4";"YAC512-M";"YAC512-M";"SOIC127P780X230-16N";"A8, A9, A16, A17";"Digital Analog Converter, Single, 16 Bit, 16 Pin, SOP";"";"";"Digital Analog Converter, Single, 16 Bit, 16 Pin, SOP";"2.3mm";"Yamaha";"YAC512-M";"";"";"";"";"";"";"";"";
"2";"YMF262-M";"YMF262-M";"SOIC127P1180X250-24N";"A7, A15";"SOUND GENERATOR CIRCUIT, 24 Pin, SOP";"";"";"SOUND GENERATOR CIRCUIT, 24 Pin, SOP";"2.5mm";"Yamaha";"YMF262-M";"";"";"";"";"";"";"";"";
